,Coil_Number,UTS,EL,LYS,AIM_QLTY
22181,COIL_93550620,377,35,297,I09499
22182,COIL_92450232,305,46,243,TCA001
22183,COIL_97900251,599,26,520,E13001
22184,COIL_97390471,358,38,281,I09499
22185,COIL_95710491,357,40,301,I09499
22186,COIL_97730131,308,46,255,T01378
22187,COIL_88280370,366,37,287,I09500
22188,COIL_93920341,442,28,325,I17023
22189,COIL_95360490,353,42,281,T01018
22190,COIL_91250981,491,29,417,I17016
22191,COIL_94060281,351,40,287,I09499
22192,COIL_88990341,443,32,396,I17020
22193,COIL_95080021,339,38,269,I09499
22194,COIL_89450322,482,31,407,A21000
22195,COIL_91411041,370,39,268,K01003
22196,COIL_95100261,305,46,243,TCA001
22197,COIL_93460401,500,28,450,T01582
22198,COIL_90320761,481,32,409,I17140
22199,COIL_94230311,378,39,320,I09499
22200,COIL_92160171,312,45,247,T01087
22201,COIL_92350621,359,42,289,T01018
22202,COIL_91740131,405,37,324,T01099
22203,COIL_88901332,485,29,410,I17016
22204,COIL_92330351,488,30,360,I17007
22205,COIL_97880832,485,35,428,T01049
22206,COIL_96600441,347,43,278,T01018
22207,COIL_95400680,376,36,307,I11496
22208,COIL_91630221,430,38,365,T01099
22209,COIL_96240561,471,30,319,I17140
22210,COIL_91830101,355,41,282,T01018
22211,COIL_97340221,307,45,244,T01087
22212,COIL_89300522,498,26,364,I17140
22213,COIL_96400761,379,37,309,I09500
22214,COIL_94670371,397,39,320,K01002
22215,COIL_91251161,517,25,454,T01158
22216,COIL_88040161,310,44,243,T01283
22217,COIL_92550771,497,39,400,J10004
22218,COIL_95950500,651,22,563,T01302
22219,COIL_94370590,597,24,540,I17140
22220,COIL_94160700,370,39,281,I09499
22221,COIL_88870191,303,47,249,T01378
22222,COIL_92010551,389,36,319,I45008
22223,COIL_90140321,310,45,247,T01118
22224,COIL_97400831,376,38,294,I09499
22225,COIL_94780191,430,37,375,T01382
22226,COIL_90600592,338,39,260,T01051
22227,COIL_89930681,452,27,342,I17140
22228,COIL_92300531,489,29,416,I17007
22229,COIL_96290681,357,42,281,T01018
22230,COIL_87660291,511,30,440,I17021
22231,COIL_89570681,586,26,511,E13001
22232,COIL_91670281,307,46,243,TCA001
22233,COIL_95110291,306,46,244,TCA001
22234,COIL_92870340,390,38,325,K01002
22235,COIL_88870442,632,26,514,T16001
22236,COIL_92080492,497,30,426,I17021
22237,COIL_90710371,378,36,304,I09500
22238,COIL_91120821,468,32,396,I17007
22239,COIL_91580701,365,42,288,T01244
22240,COIL_97310231,310,46,254,T01560
22241,COIL_96690490,383,32,300,I09500
22242,COIL_94780222,398,40,327,T01382
22243,COIL_88540590,550,29,457,I17140
22244,COIL_89570532,436,26,376,I17021
22245,COIL_91860411,313,46,276,T01560
22246,COIL_90941032,435,38,379,E07000
22247,COIL_93420201,310,47,270,T01378
22248,COIL_90060161,387,38,315,I11496
22249,COIL_92720431,397,39,340,I11498
22250,COIL_96000101,305,45,246,T01087
22251,COIL_90840331,322,46,280,T01378
22252,COIL_87970461,422,39,355,T01099
22253,COIL_95400351,406,37,332,K01002
22254,COIL_93530852,363,38,303,T01013
22255,COIL_95730642,443,36,331,NHA002
22256,COIL_87591061,484,32,428,TCA003
22257,COIL_95690201,334,41,243,I09499
22258,COIL_88540041,392,39,293,I11496
22259,COIL_97820621,504,30,427,E13001
22260,COIL_97140311,364,40,287,T01382
22261,COIL_87600201,304,45,244,T01283
22262,COIL_97110101,304,44,243,T01087
22263,COIL_88140231,309,44,246,T01118
22264,COIL_96050670,378,35,301,T01002
22265,COIL_91510311,345,42,280,T01018
22266,COIL_90520472,473,25,415,I17473
22267,COIL_96790881,328,44,256,J06005
22268,COIL_97870251,563,26,491,E13001
22269,COIL_97170162,345,34,271,T01018
22270,COIL_97070131,301,46,248,T01118
22271,COIL_97730951,539,29,480,A20001
22272,COIL_95210192,406,30,335,T01382
22273,COIL_96270851,572,29,372,S02028
22274,COIL_97410640,340,39,267,T01018
22275,COIL_93460381,405,37,333,T01099
22276,COIL_88140581,372,38,290,I11496
22277,COIL_93801251,488,28,356,I09504
22278,COIL_97591041,535,28,474,D06005
22279,COIL_89100201,307,47,255,T01378
22280,COIL_97590791,436,34,318,I17140
22281,COIL_92250351,622,20,478,T16001
22282,COIL_93040622,437,36,363,I45001
22283,COIL_91530551,472,40,392,J10004
22284,COIL_94160070,359,40,282,T01018
22285,COIL_92100682,368,44,296,I11498
22286,COIL_97510951,355,39,280,T01018
22287,COIL_88400452,460,30,403,I45011
22288,COIL_93610471,373,38,315,I09499
22289,COIL_96670011,334,42,261,I09499
22290,COIL_88090291,304,46,248,T01262
22291,COIL_93360280,305,46,245,T01560
22292,COIL_87670802,1050,8,665,T13178
22293,COIL_96000770,630,24,544,D06005
22294,COIL_93490110,307,46,243,T01283
22295,COIL_88780251,403,32,290,T01065
22296,COIL_93080130,373,35,320,T01063
22297,COIL_89700381,345,40,279,T01018
22298,COIL_93380100,306,46,242,T01283
22299,COIL_88820771,480,28,389,I09502
22300,COIL_92220141,357,43,292,T01244
22301,COIL_97411060,477,30,397,I17016
22302,COIL_93030651,535,25,480,THB004
22303,COIL_90400111,315,46,278,T01378
22304,COIL_92150221,315,46,255,T01283
22305,COIL_91940612,497,35,432,TCA003
22306,COIL_90300461,454,33,401,I09500
22307,COIL_96740231,379,39,300,T01382
22308,COIL_94110352,448,30,334,I17472
22309,COIL_92070221,316,46,261,T01378
22310,COIL_97871121,353,38,272,I09499
22311,COIL_94910231,449,32,321,I17140
